0,Country,Region,HarvestYear,Aroma,Flavor,Aftertaste,Acidity,Body,Balance,Cupper.Points,Total.Cup.Points,Moisture,Color,altitude_high_meters,altitude_mean_meters,unit_of_measurement,Processing.Method,
35,Ethiopia,oromia,2014,8,8.08,7.92,8,8.08,8.08,8.08,86.25,0.1,Green,1800,1775,m,Natural / Dry,
36,Kenya,muranga,2013,8.08,8,8,8.25,7.92,7.92,8.08,86.25,0.12,Blue-Green,1800,1800,m,Washed / Wet,
37,US-Hawaii,kona,2012,8.08,8.17,8,7.92,7.92,7.83,8.33,86.25,0,,130,130,m,Natural / Dry,
38,US-Hawaii,kona,2010,8.25,8.42,8.08,7.75,7.67,7.83,8.25,86.25,0,,130,130,m,,
40,US,antioquia,2014,7.67,8.17,8,8,8.17,8.08,8.08,86.17,0,,1941,1941,m,Washed / Wet,
41,Thailand,chiang rai,2012,7.83,8.33,7.83,8.25,7.58,7.92,8.42,86.17,0.1,Green,1300,1300,m,Washed / Wet,
42,Brazil,sul de minas - carmo de minas,2010,8.17,7.92,7.92,7.75,8.33,8,8.08,86.17,0.08,,12,12,m,,
43,Brazil,sul de minas - carmo de minas,2010,8.42,7.92,8,7.75,7.92,8,8.17,86.17,0.01,,12,12,m,,
44,Taiwan,natou county,2015,8.08,8.17,7.75,8.08,7.75,7.83,8.42,86.08,0.12,Green,1000,1000,m,Semi-washed / Semi-pulped,
45,Kenya,nyeri,2014,8.08,8.08,8,8,7.83,8.08,8,86.08,0.11,Bluish-Green,1754,1754,m,Natural / Dry,
46,Brazil,south of minas,2011,8.33,8,8,8,7.75,8,8,86.08,0.11,Blue-Green,1250,1250,m,Semi-washed / Semi-pulped,
48,Colombia,tolima,2013,7.75,7.92,7.83,8.08,8.08,8.17,8.17,86,0.12,Green,1500,1200,m,Washed / Wet,
49,Kenya,kiambu,2013,7.92,8.17,7.83,8.5,7.5,7.92,8.17,86,0.11,Green,2200,1860,m,Washed / Wet,
50,Uganda,"sipi, mt elgon",2012,8.25,8,7.83,8.08,8,7.92,7.92,86,0.1,Blue-Green,1900,1650,m,Washed / Wet,
51,Ethiopia,sidamo,2009/2010,7.75,8.08,8,8.25,8,8,7.92,86,0.01,,2000,1750,m,,
52,US-Hawaii,kona,Fall 2009,8.33,8.17,7.75,8,7.75,7.83,8.17,86,0,,130,130,m,,
54,Uganda,eastern,2013,8.17,8.17,7.92,8.08,7.83,7.75,8,85.92,0.12,Green,1900,1650,m,Natural / Dry,
55,Colombia,huila,2013,8,8,8,8.17,7.83,8,7.92,85.92,0,Blue-Green,1800,1800,m,Washed / Wet,
56,Panama,boquete,2017,8,8,7.92,8.08,7.83,8,8,85.83,0.08,Bluish-Green,1600,1600,m,Washed / Wet,
57,Ethiopia,oromia,2014,7.83,8.08,7.92,8.08,8,7.92,8,85.83,0.1,Green,2000,1900,m,Washed / Wet,
58,Guatemala,acatenango,2012,7.83,8,8,8.17,7.83,8,8,85.83,0.12,Green,1524,1524,ft,Washed / Wet,
59,Guatemala,nuevo oriente,2012,8,8,7.83,8.33,7.83,7.83,8,85.83,0.1,Bluish-Green,1417.32,1417.32,ft,Washed / Wet,
62,Other,eastern highlands province,2012,8.33,8.42,7.83,8.33,8,8.25,7.92,85.75,0.12,Bluish-Green,1700,1700,m,Washed / Wet,
63,ElSalvador,apaneca,2013,7.92,8.17,8,7.92,7.75,7.83,8,85.58,0.1,Blue-Green,1500,1500,m,Washed / Wet,
64,ElSalvador,"ataco, apaneca - ilamatepec mountain range",2012,7.83,8,8,7.75,7.92,8.17,7.92,85.58,0.11,None,1400,1350,m,Semi-washed / Semi-pulped,
65,US-Hawaii,kona,2012,7.83,8,7.92,7.75,8.08,8,8,85.58,0,,130,130,m,Natural / Dry,
66,Panama,boquete,2014,8,7.75,7.83,7.83,7.67,8.58,7.83,85.5,0.09,,1680,1680,m,Natural / Dry,
67,Kenya,kirinyaga,2014,7.92,7.92,7.83,8.08,7.83,7.92,8,85.5,0.1,Green,1900,1900,m,Natural / Dry,
68,Ethiopia,oromia,2015,7.83,8,7.83,7.92,7.83,8.08,8,85.5,0.12,Green,2000,1900,m,Natural / Dry,
69,Uganda,bulambuli eastern region,2013,8.33,7.92,7.67,7.92,7.67,7.92,8.08,85.5,0.12,Green,1600,1600,m,Washed / Wet,
70,Guatemala,huehuetenango,2013,8,7.83,7.67,8.33,7.83,8,7.83,85.5,0.11,Green,1755.648,1731.264,ft,Washed / Wet,
71,Ethiopia,oromia,2015,7.75,7.83,7.83,8.17,7.92,7.83,8.08,85.42,0.1,Green,2000,1900,m,Washed / Wet,
72,Uganda,kapchorwa,2013,8.08,8,7.83,7.67,8,7.83,8,85.42,0.12,Green,1950,1950,m,Washed / Wet,
73,US-Hawaii,kona,2012,7.92,7.92,7.75,7.92,7.75,7.92,8.25,85.42,0,,130,130,m,Natural / Dry,
74,Brazil,south of minas,2011,8,8,8,7.67,7.75,8,8,85.42,0.11,Blue-Green,1250,1250,m,Semi-washed / Semi-pulped,
75,ElSalvador,apaneca,2009 / 2010,8.08,7.83,7.83,8.08,7.83,7.83,7.92,85.42,0.01,,1400,1400,m,,
76,China,yunnan,2015,8,8,8,7.83,7.83,7.75,7.92,85.33,0.1,Green,1700,1700,m,Natural / Dry,
77,Guatemala,huehuetenango,2014,7.83,7.75,7.83,7.67,7.83,8.58,7.83,85.33,0.11,Green,1770,1770,m,Natural / Dry,
78,CostaRica,west valley,2014,7.92,8.08,8,7.92,8,8.08,8,85.33,0,Bluish-Green,1300,1300,m,Washed / Wet,
79,CostaRica,san ramon,2014,8,7.58,7.58,7.67,8.08,8.5,7.92,85.33,0.1,Bluish-Green,1300,1300,m,Washed / Wet,
80,Kenya,central kenya,2012,7.83,8.08,7.75,8.08,7.92,7.75,7.92,85.33,0,Green,1600,1600,m,Washed / Wet,
81,Kenya,central kenya,2012,8,7.92,7.92,8.08,7.83,7.75,7.83,85.33,0,Green,1200,1200,m,Washed / Wet,
85,Colombia,santander,2015,8.17,7.92,7.83,8,7.58,7.83,7.92,85.25,0.11,Green,1550,1550,m,Washed / Wet,
86,Colombia,santander,2014,7.58,8.08,7.92,7.83,8,7.92,7.92,85.25,0.12,Green,1550,1550,m,Natural / Dry,
87,Indonesia,lintong,2012,7.75,7.83,7.67,8,8.08,7.83,8,85.17,0.11,Green,1400,1325,m,Semi-washed / Semi-pulped,
88,Guatemala,huehuetenango,2012,8.25,8,7.67,7.92,7.75,7.67,7.92,85.17,0,,1400,1400,m,Washed / Wet,
90,Colombia,pasto,2015,8.17,7.83,7.58,8.08,8,7.75,7.67,85.08,0,,2560,2560,m,Natural / Dry,
91,Ethiopia,aricha,2014,8.42,8,7.42,8,7.92,7.92,8.08,85.08,0.1,Green,1700,1700,m,Natural / Dry,
92,US-Hawaii,kona,2014,7.58,7.83,7.83,7.92,7.83,8.17,7.92,85.08,0.11,Bluish-Green,130,130,m,Natural / Dry,
93,Colombia,cundinamarca,2012,7.83,8,7.75,7.75,7.83,7.83,8.08,85.08,0.11,Green,2136,2136,m,Natural / Dry,
94,US-Hawaii,kona,2010-2011,8.08,8.17,7.92,8,8.08,8,8.17,85.08,0.01,,130,130,m,,
96,US-Hawaii,kona,,7.5,7.92,8.25,7.83,7.92,7.75,7.92,85.08,0,,130,130,m,,
97,Uganda,eastern uganda,2016,8.17,7.92,7.75,7.75,7.67,7.75,8,85,0.11,Green,1800,1800,m,Washed / Wet,
99,CostaRica,tarrazu,2016,7.83,8,7.58,7.92,7.92,7.83,7.92,85,0.12,Green,1900,1900,m,Washed / Wet,
100,Mexico,veracruz,2015,7.83,8,7.83,7.75,7.67,7.83,8.08,85,0.09,Green,1300,1300,m,Washed / Wet,
101,Kenya,,2015,8.17,7.83,7.92,7.75,7.67,7.83,7.83,85,0.11,Green,1,1,m,Washed / Wet,
102,Kenya,central kenya,2012,7.75,7.83,7.75,8.08,8,7.75,7.83,85,0,Green,1580,1580,m,Washed / Wet,
103,Brazil,grama valley,2012,8,8,7.83,7.83,7.67,7.67,8,85,0.12,Green,1100,1100,m,Natural / Dry,
104,Mexico,mexico,2010-2011,7.92,8.17,7.75,8.08,7.42,7.83,7.83,85,0,,1400,1400,m,,
105,US-Hawaii,kona,,7.75,7.92,7.75,7.75,8,8,7.83,85,0,,130,130,m,,
106,Guatemala,"chuva, san marcos",2009/2010,7.83,8.08,7.67,8,7.75,7.67,8,85,0.04,,1584.96,1325.88,ft,,
108,Colombia,huila,2015,7.92,7.83,7.75,7.83,7.75,8,7.83,84.92,0.12,Green,1950,1775,m,Washed / Wet,
109,Taiwan,natou county,2015,7.67,7.83,8,7.58,8,7.92,7.92,84.92,0.11,Green,800,800,m,Semi-washed / Semi-pulped,
110,Tanzania,mbeya,2014,8,7.83,7.83,7.92,7.75,7.75,7.83,84.92,0.12,Green,1620,1620,m,Washed / Wet,
111,Colombia,huila,2012,7.75,7.92,7.83,7.75,7.75,8,7.92,84.92,0.11,Green,1950,1775,m,Washed / Wet,
112,Mexico,coatepec,2012,7.75,8,7.75,7.83,7.5,7.92,8.17,84.92,0.11,,1200,1200,m,Semi-washed / Semi-pulped,
113,Brazil,south of minas,2011,8,7.92,7.75,7.75,8,7.75,7.75,84.92,0.11,Green,1200,1200,m,Natural / Dry,
114,Brazil,south of minas,2011,8,8,7.75,8,7.5,7.75,7.92,84.92,0.12,Green,1000,1000,m,Natural / Dry,
116,Taiwan,"dongshan dist., tainan city 臺南市東山區",2016,7.92,7.58,7.83,7.83,7.83,7.83,8,84.83,0,Green,350,350,m,Natural / Dry,
117,Uganda,eastern,2013,7.75,7.92,7.67,7.67,8.25,7.75,7.83,84.83,0.12,Green,1900,1650,m,Natural / Dry,
118,US-Hawaii,kona,2012,7.67,7.75,7.75,7.75,7.83,8,8.08,84.83,0,,130,130,m,Natural / Dry,
119,Ethiopia,sidamo,2009/2010,7.75,7.92,7.83,7.92,7.75,7.67,8,84.83,0.1,,2000,1750,m,,
120,Ethiopia,sidamo,2009/2010,7.42,7.92,7.92,8,7.83,7.83,7.92,84.83,0.1,,2000,1750,m,,
122,Kenya,nyeri,2014,7.92,7.83,7.58,7.92,7.75,7.83,7.92,84.75,0.13,Green,1800,1800,m,Washed / Wet,
123,Honduras,marcala,2014,7.83,7.75,8,7.67,7.67,7.67,8.17,84.75,0.11,Green,1450,1450,m,Washed / Wet,
124,ElSalvador,santa ana,2010-2011,7.75,8,8,8.33,7.67,7.92,7.75,84.75,0.15,,1200,1200,m,,
125,Nicaragua,jinotega,2009 - 2010,7.83,7.58,7.58,7.83,7.75,7.67,8.5,84.75,0.18,,1050,925,m,,
126,ElSalvador,apaneca,2016,7.83,7.83,7.5,8,7.83,7.67,8,84.67,0,Blue-Green,1350,1350,m,Washed / Wet,
127,Indonesia,"temanggung, indonesia",2016,7.92,7.83,7.75,7.75,7.75,7.75,7.92,84.67,0.12,Green,1200,1200,m,Washed / Wet,
128,Other,ada okinawa japan,,7.75,7.75,7.75,7.42,8.08,7.83,8.08,84.67,0.12,Green,170,170,m,Pulped natural / honey,
129,CostaRica,tarrazu,2015,8.08,7.75,7.67,7.83,7.5,7.92,7.92,84.67,0.1,Blue-Green,1150,1150,m,Washed / Wet,
130,Guatemala,acatenango,2015,7.75,7.83,7.58,8,7.92,7.75,7.83,84.67,0.1,Green,1600,1600,m,Washed / Wet,
131,CostaRica,tarrazu,2014,8.17,8,7.83,7.17,7.83,7.75,7.92,84.67,0.12,Green,1750,1750,m,Washed / Wet,
132,Ethiopia,yirgacheffe,2014,8.08,7.83,7.75,7.83,7.58,7.67,7.92,84.67,0.1,,1900,1900,m,Washed / Wet,
133,CostaRica,CostaRica,2014,7.67,7.58,7.75,7.75,7.67,8.58,7.67,84.67,0.08,Green,1750,1750,m,Other,
134,CostaRica,west valley,2014,8,7.58,7.83,7.75,7.75,7.75,8,84.67,0.11,Green,1200,1200,m,Washed / Wet,
136,Taiwan,taichung xinshe 台中市新社區,2013/2014,8,7.92,7.75,7.75,7.75,7.75,7.75,84.67,0.11,Green,1000,1000,m,Washed / Wet,
137,Colombia,santander,2013,7.75,7.83,7.75,7.83,7.75,7.83,7.92,84.67,0,Green,1550,1550,m,Washed / Wet,
138,Kenya,nyeri,2012,7.75,7.92,7.83,8,7.58,7.75,7.83,84.67,0.11,Bluish-Green,2000,2000,m,Washed / Wet,
139,Guatemala,oriente,2012,8,7.83,7.67,7.83,7.67,8,7.67,84.67,0.11,Green,1310.64,1310.64,ft,Washed / Wet,
140,Guatemala,acatenango,2012,7.67,7.83,7.67,8,7.67,7.83,8,84.67,0.12,Green,1524,1524,ft,Washed / Wet,
141,Mexico,el remudadero,2012,7.83,7.58,7.67,7.92,7.92,7.83,7.92,84.67,0.13,,1200,1200,m,Washed / Wet,
142,Uganda,mbale,2012,7.92,7.83,7.75,7.92,7.67,7.75,7.83,84.67,0.11,Blue-Green,1850,1775,m,Washed / Wet,
144,Ethiopia,sidamo,2009/2010,7.42,7.75,7.75,8,8,7.92,7.83,84.67,0.2,,2000,1750,m,,
145,Kenya,nyeri,,7.92,7.75,7.83,7.75,7.58,7.92,7.83,84.58,0.11,Blue-Green,1754,1754,m,Washed / Wet,
146,Colombia,santander,2016,7.83,7.67,7.58,7.92,7.67,7.83,8.08,84.58,0,Blue-Green,1500,1500,m,Washed / Wet,
148,Kenya,nyeri,2013,7.83,7.83,7.83,7.75,7.58,7.83,7.92,84.58,0.1,Bluish-Green,1800,1800,m,Washed / Wet,
149,Guatemala,jalapa,2014,7.75,7.83,7.67,7.92,7.75,7.83,7.83,84.58,0.11,Green,1524,1524,ft,Washed / Wet,
150,Guatemala,oriente,2014,8,7.92,7.67,7.58,7.58,7.67,8.17,84.58,0.09,Green,1219.2,1219.2,ft,Washed / Wet,
151,Colombia,santander,2013,7.67,7.67,7.58,7.75,7.58,8.5,7.83,84.58,0,,1550,1550,m,Washed / Wet,
152,Colombia,huila,2013,7.75,7.75,7.83,7.75,7.58,8,7.92,84.58,0,,1900,1750,m,Washed / Wet,
154,Colombia,huila,2012,7.67,7.83,7.83,8,7.58,7.92,7.75,84.58,0,Green,1750,1750,m,Washed / Wet,
155,CostaRica,tres rios,2012,7.75,7.83,7.75,8,7.83,7.67,7.75,84.58,0.12,Bluish-Green,1700,1575,m,Semi-washed / Semi-pulped,
156,Colombia,huila,2012,7.42,7.67,7.75,7.75,8.08,7.83,8.08,84.58,0.11,Green,1800,1800,m,Washed / Wet,
157,Brazil,vale da grama,2011,8,8,7.75,7.75,7.58,7.75,7.75,84.58,0.12,Green,1300,1300,m,Semi-washed / Semi-pulped,
158,Brazil,mountains of minas gerais,2011,8.5,8,7.5,7.75,7.5,7.83,7.5,84.58,0.11,Blue-Green,1100,1100,m,Semi-washed / Semi-pulped,
159,CostaRica,valle central,2017 / 2018,7.92,7.67,7.92,7.75,7.67,7.58,8,84.5,0.1,Bluish-Green,1200,1200,m,Washed / Wet,
160,Uganda,eastern uganda,2016,7.92,7.75,7.67,7.75,7.83,7.75,7.83,84.5,0.11,Green,1750,1750,m,Washed / Wet,
161,China,yunnan,2015,7.75,7.92,7.67,7.83,7.75,7.67,7.92,84.5,0.1,Green,1680,1680,m,Washed / Wet,
162,CostaRica,tarrazu,2014,7.92,7.83,7.83,7.83,7.58,7.58,7.92,84.5,0.11,Green,1700,1700,m,Washed / Wet,
163,Colombia,cauca,2015/2016,8.08,7.67,7.83,7.83,7.67,7.67,7.75,84.5,0.12,Green,1800,1800,m,Washed / Wet,
164,China,yunnan,2013,7.67,8,7.75,7.83,7.75,7.58,7.92,84.5,0,Green,1100,1100,m,Washed / Wet,
165,Guatemala,oriente,2013,8.17,7.83,7.67,7.83,7.67,7.83,7.5,84.5,0.11,Green,1310.64,1310.64,ft,Washed / Wet,
166,Kenya,nyeri,2012,7.92,7.83,7.67,8,7.67,7.75,7.67,84.5,0.11,Blue-Green,2000,2000,m,Washed / Wet,
167,Mexico,hustusco,2012,8,7.92,7.42,8.08,7.5,7.67,7.92,84.5,0.12,Green,1350,1350,m,Washed / Wet,
168,Mexico,jaltenango,2012,7.92,7.83,7.75,7.75,7.75,7.83,7.67,84.5,0.11,,1500,1500,m,Washed / Wet,
172,CostaRica,tarrazu,2016,7.58,7.83,7.83,8,7.67,7.58,7.92,84.42,0.1,Blue-Green,1300,1300,m,Washed / Wet,
173,Indonesia,sumatra brastagi,2017,7.67,7.67,7.83,7.58,7.83,7.83,8,84.42,0,Blue-Green,1400,1400,m,Other,
175,Colombia,huila,2014,7.92,7.75,7.67,7.92,7.67,7.75,7.75,84.42,0,Green,1950,1775,m,Washed / Wet,
176,Taiwan,"mountain ali, taiwan",2012,7.83,7.83,7.75,8,7.5,7.75,7.75,84.42,0.11,Blue-Green,1200,1200,m,Washed / Wet,
177,US-Hawaii,kona,2012,7.92,7.92,7.5,7.83,7.5,7.92,7.83,84.42,0.11,Blue-Green,130,130,m,Natural / Dry,
178,Mexico,tapachula,2012,7.75,7.92,7.75,7.67,7.83,7.67,7.83,84.42,0.12,,900,900,m,Washed / Wet,
180,Kenya,nyeri,2017 / 2018,7.33,7.58,7.83,7.75,7.75,7.92,8.17,84.33,0.11,Green,1800,1800,m,Washed / Wet,
181,Honduras,comayagua,2016,7.92,8,7.75,7.67,7.67,7.75,7.58,84.33,0.1,Green,1500,1500,m,,
183,Honduras,central region,2016,7.58,7.92,7.58,7.75,7.92,7.75,7.83,84.33,0.11,Green,1500,1500,m,Washed / Wet,
185,Colombia,huila,2015,7.75,7.67,8,7.67,8.08,7.83,7.33,84.33,0.11,Green,442,442,m,Natural / Dry,
186,Colombia,huila,2013,7.75,7.58,7.33,7.83,7.58,8.08,8.17,84.33,0,Green,1800,1800,m,Washed / Wet,
187,Mexico,tuxtla gutierrez,2012,8,7.75,7.75,7.83,7.5,7.67,7.83,84.33,0.12,Blue-Green,1700,1700,m,Washed / Wet,
188,Brazil,vale da grama,2011,8.17,8,7.5,7.75,7.5,7.67,7.75,84.33,0,,1350,1275,m,,
189,Brazil,south of minas,2011,8,8,7.5,7.5,7.67,7.75,7.92,84.33,0.02,,1200,1050,m,,
190,Ethiopia,limu,,7.75,7.75,7.92,7.75,7.5,7.92,7.75,84.33,0,,1889.76,1493.52,ft,,
191,Guatemala,nuevo oriente,December 2009-March 2010,7.5,7.67,7.75,7.67,7.92,7.92,7.92,84.33,0.04,,1432.56,1386.84,ft,,
192,Taiwan,國姓鄉 guoshing township,2016,7.92,7.75,7.75,7.67,7.67,7.83,7.67,84.25,0.12,Blue-Green,1000,1000,m,Washed / Wet,
193,Thailand,chiang rai thailand,2015,7.83,7.75,7.75,7.42,7.83,7.67,8,84.25,0.12,Green,1200,1200,m,Natural / Dry,
194,Colombia,nariño,2016,7.83,7.58,7.75,7.58,7.67,8,7.83,84.25,0.11,Green,2560,2560,m,Natural / Dry,
195,Guatemala,antigua,2016,7.75,7.75,7.58,7.92,7.75,7.75,7.75,84.25,0.11,Green,1500,1500,m,Washed / Wet,
196,Guatemala,huehuetenango,2015,7.75,7.92,7.5,8.08,7.58,7.67,7.75,84.25,0.1,Green,1099.4136,1099.4136,ft,Washed / Wet,
197,China,yunnan,2015,7.83,7.83,7.58,7.75,7.75,7.75,7.75,84.25,0.1,Green,1400,1400,m,Natural / Dry,
198,Colombia,huila,2015,7.67,7.67,7.75,7.75,7.67,7.92,7.83,84.25,0.11,Green,1950,1775,m,Washed / Wet,
199,Colombia,huila,2015,7.83,7.67,7.75,7.58,7.92,7.75,7.75,84.25,0.12,Green,1950,1775,m,Washed / Wet,
200,Colombia,cauca,2015/2016,7.83,7.75,7.83,7.58,7.67,7.75,7.83,84.25,0.12,Green,1800,1800,m,Washed / Wet,
201,Colombia,huila,2015,7.42,7.67,7.83,7.75,7.92,7.83,7.83,84.25,0.12,Green,442,442,m,Natural / Dry,
202,Tanzania,shizingo village,2014,7.83,7.67,7.75,7.83,7.67,7.67,7.83,84.25,0.12,Green,1620,1620,m,Washed / Wet,
203,Tanzania,mbeya,2014,7.83,7.75,7.75,7.75,7.67,7.75,7.75,84.25,0.12,Green,1600,1600,m,Washed / Wet,
204,Guatemala,oriente,2014,7.83,7.83,7.5,7.92,7.58,7.75,7.83,84.25,0.1,Green,1219.2,1219.2,ft,Other,
205,Colombia,cauca,2013,7.58,7.5,7.75,7.83,7.92,7.83,7.83,84.25,0.11,Green,1700,1700,m,Washed / Wet,
206,US-Hawaii,kona,2012,7.33,7.92,7.92,7.92,7.92,8.08,7.83,84.25,0.11,Bluish-Green,130,130,m,Natural / Dry,
207,Mexico,san pedro cotzilnam,2012,7.83,7.92,7.67,7.83,7.5,7.75,7.75,84.25,0.12,Green,1450,1450,m,Semi-washed / Semi-pulped,
208,Mexico,veracruz,2012,7.83,7.83,7.75,7.67,7.83,7.58,7.75,84.25,0.12,Green,1170,1170,m,Washed / Wet,
209,Mexico,"la concordia, chiapas",2012,7.83,7.92,7.67,7.75,7.5,7.75,7.83,84.25,0.1,Bluish-Green,1400,1400,m,Washed / Wet,
210,Uganda,kasese,2012,8.17,7.75,7.58,7.67,7.83,7.58,7.67,84.25,0.13,Green,1700,1700,m,Natural / Dry,
211,Guatemala,san marcos,2017,7.75,7.83,7.58,7.83,7.67,7.75,7.75,84.17,0.13,Green,1700,1700,m,Washed / Wet,
213,CostaRica,tarrazu,2016,7.92,7.75,7.67,7.67,7.5,7.67,8,84.17,0.09,Bluish-Green,1700,1700,m,Washed / Wet,
214,Guatemala,huehuetenango,2016,7.75,7.75,7.58,8,7.67,7.83,7.58,84.17,0.11,Green,1116.7872,1116.7872,ft,Washed / Wet,
215,Guatemala,solola,2016,7.75,7.92,7.58,7.92,7.67,7.67,7.67,84.17,0.1,Green,1565,1565,m,Washed / Wet,
216,Guatemala,norte,2016,7.58,7.83,7.58,7.83,7.83,7.67,7.83,84.17,0.1,Green,3280,3280,m,Washed / Wet,
217,Colombia,huila,2015,8,7.5,7.5,7.67,8,7.83,7.67,84.17,0,Bluish-Green,1950,1775,m,Washed / Wet,
218,Nicaragua,jinotega,2015,7.67,7.83,7.83,7.5,7.67,7.83,7.83,84.17,0.12,Bluish-Green,1100,1000,m,Natural / Dry,
219,Brazil,cerrado,2015,7.67,7.75,7.75,7.67,7.83,7.75,7.75,84.17,0,,1150,1150,m,Natural / Dry,
220,CostaRica,tarrazu,2014,7.67,7.75,7.67,7.75,7.5,8,7.83,84.17,0,Blue-Green,1850,1850,m,Washed / Wet,
221,Ethiopia,snnprg; kafa; telo woreda; shada kebele,2014,7.5,7.92,7.58,7.83,7.75,7.83,7.75,84.17,0.1,Green,1668,1606.5,m,Natural / Dry,
222,Tanzania,arusha,2014,7.92,7.75,7.75,7.75,7.75,7.58,7.67,84.17,0.13,Green,1400,1400,m,Washed / Wet,
223,Colombia,huila,2014/2015,7.67,7.5,7.67,7.42,7.83,8.58,7.5,84.17,0.12,Green,1530,1530,m,Washed / Wet,
225,Kenya,kenya,2013,7.58,7.75,7.75,7.75,7.75,7.83,7.75,84.17,0.08,Green,500,250.5,m,Washed / Wet,
226,Brazil,"minas gerais, br",2012,7.58,7.83,7.75,7.67,7.67,8,7.67,84.17,0.11,Green,1183,1038.5,m,Natural / Dry,
227,Guatemala,oriente,2013,7.92,7.75,7.67,7.67,7.83,7.92,7.42,84.17,0.11,Green,1310.64,1310.64,ft,Washed / Wet,
228,ElSalvador,apaneca,2013,8.42,8.08,7.5,7.17,7.58,8.17,7.92,84.17,0.11,Bluish-Green,1500,1500,m,Natural / Dry,
229,Colombia,huila,2012,7.75,7.75,7.75,7.75,7.83,7.75,7.58,84.17,0,Green,1750,1750,m,Washed / Wet,
231,Uganda,mt. rwenzori,2012,7.83,7.75,7.5,7.83,7.83,7.75,7.67,84.17,0.11,Green,1700,1600,m,Washed / Wet,
233,Colombia,huila,2017 / 2018,7.83,7.5,7.42,7.5,7.83,8.5,7.5,84.08,0,Green,442,442,m,Washed / Wet,
